loop,domain,checks,result,detail
985,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
986,d6_theme_contrast,19,PASS,v2_hell_warm_sand.json: 
987,d7_icon_targets,1,PASS,views/tabs/tracking_tab.py: 
988,d8_scaling,1,PASS,views/tabs/tracking_tab.py: setFixedSize auf Dialog
989,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
990,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
991,d1_release_cleaner,8,PASS,
992,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
993,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
994,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
995,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
996,d6_theme_contrast,19,PASS,warm_hell.json: 
997,d7_icon_targets,1,PASS,views/tags_manager_dialog.py: 
998,d8_scaling,1,PASS,views/tags_manager_dialog.py: setFixedSize auf Dialog
999,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
1000,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
